mode,route,name ,longitude,latitude,duration,durationsec
metro1,1,M52,4.900658923,52.37884288,12,720
metro1,1,M52,4.901559877,52.37850999,12,720
metro1,1,M52,4.903391973,52.37765093,12,720
metro1,1,M52,4.90599408,52.37697015,12,720
metro1,1,M52,4.908728947,52.37664597,12,720
metro1,1,M52,4.911729336,52.37695394,12,720
metro1,1,M52,4.910478372,52.3819318,12,720
metro1,1,M52,4.910903206,52.38358491,12,720
metro1,1,M52,4.911009507,52.3843142,12,720
metro1,1,M52,4.913611614,52.38614549,12,720
metro1,1,M52,4.91884238,52.3889652,12,720
metro1,1,M52,4.92078151,52.3900823,12,720
metro1,1,M52,4.922205749,52.39186989,12,720
metro1,1,M52,4.923667135,52.3942666,12,720
metro1,1,M52,4.926224559,52.3970533,12,720
metro1,1,M52,4.930243643,52.40039711,12,720
metro1,1,M52,4.932629248,52.40221321,12,720
tram,5,T25,4.872496092,52.30777071,23,1380
tram,5,T25,4.872520509,52.30844016,23,1380
tram,5,T25,4.872569198,52.30963089,23,1380
tram,5,T25,4.872533638,52.31054861,23,1380
tram,5,T25,4.872521441,52.31088988,23,1380
tram,5,T25,4.872360247,52.31164268,23,1380
tram,5,T25,4.872072013,52.31283721,23,1380
tram,5,T25,4.871585792,52.31384859,23,1380
tram,5,T25,4.871027675,52.31504322,23,1380
tram,5,T25,4.870673945,52.31577406,23,1380
tram,5,T25,4.86976844,52.31778191,23,1380
tram,5,T25,4.869683366,52.31807478,23,1380
tram,5,T25,4.86946359,52.31873519,23,1380
tram,5,T25,4.869343193,52.31959514,23,1380
tram,5,T25,4.869254328,52.32052776,23,1380
tram,5,T25,4.86918444,52.32134566,23,1380
tram,5,T25,4.869166529,52.32192587,23,1380
tram,5,T25,4.869087839,52.32367244,23,1380
tram,5,T25,4.869017016,52.32482555,23,1380
tram,5,T25,4.868976718,52.32558907,23,1380
tram,5,T25,4.868891167,52.32756586,23,1380
tram,5,T25,4.868882212,52.32813231,23,1380
tram,5,T25,4.86886326,52.33085237,23,1380
tram,5,T25,4.868858783,52.33250627,23,1380
tram,5,T25,4.868839966,52.33411644,23,1380
tram,5,T25,4.868813099,52.33641193,23,1380
tram,5,T25,4.868722908,52.33671543,23,1380
tram,5,T25,4.868687087,52.33830496,23,1380
tram,5,T25,4.868497754,52.34058784,23,1380
tram,5,T25,4.870708527,52.3407082,23,1380
tram,5,T25,4.873247275,52.34080435,23,1380
tram,5,T25,4.876771945,52.3409364,23,1380
tram,5,T25,4.876971455,52.34111924,23,1380
tram,5,T25,4.87662231,52.34437989,23,1380
tram,5,T25,4.876607954,52.34520767,23,1380
tram,5,T25,4.876932642,52.34722832,23,1380
tram,5,T25,4.877048077,52.34819764,23,1380
tram,5,T25,4.877255899,52.34907613,23,1380
tram,5,T25,4.878300293,52.35006217,23,1380
tram,5,T25,4.878790831,52.35060559,23,1380
tram,5,T25,4.879115035,52.3514231,23,1380
tram,5,T25,4.882591482,52.35281597,23,1380
tram,5,T25,4.879977378,52.35623718,23,1380
tram,5,T25,4.878589135,52.35814612,23,1380
tram,5,T25,4.883743136,52.35954225,23,1380
tram,5,T25,4.882305585,52.36163121,23,1380
tram,5,T25,4.882222456,52.36176827,23,1380
tram,5,T25,4.881981382,52.36198656,23,1380
tram,5,T25,4.881100214,52.36233176,23,1380
tram,5,T25,4.880734447,52.36272772,23,1380
tram,5,T25,4.880767698,52.36292569,23,1380
tram,5,T25,4.881291411,52.36320489,23,1380
tram,5,T25,4.882538341,52.36380383,23,1380
tram,5,T25,4.883120244,52.36439774,23,1380
tram,5,T25,4.885259244,52.36539463,23,1380
tram,5,T25,4.887739182,52.36655888,23,1380
tram,5,T25,4.888548954,52.36686881,23,1380
tram,5,T25,4.889396869,52.36714291,23,1380
tram,5,T25,4.889629631,52.36727488,23,1380
tram,5,T25,4.889596379,52.3675439,23,1380
tram,5,T25,4.88905565,52.3680142,23,1380
tram,5,T25,4.888864453,52.36820707,23,1380
tram,5,T25,4.888864453,52.36820707,23,1380
tram,5,T25,4.888914331,52.36841518,23,1380
tram,5,T25,4.889263473,52.36864358,23,1380
tram,5,T25,4.889388159,52.3691486,23,1380
tram,5,T25,4.889587051,52.36976026,23,1380
tram,5,T25,4.89004877,52.37042033,23,1380
tram,5,T25,4.890555857,52.37109537,23,1380
tram,5,T25,4.890715015,52.37164808,23,1380
tram,5,T25,4.890706702,52.37266314,23,1380
tram,5,T25,4.890781874,52.37336329,23,1380
tram,5,T25,4.891222458,52.37410426,23,1380
tram,5,T25,4.891886842,52.37497041,23,1380
tram,5,T25,4.893283409,52.37598031,23,1380
tram,5,T25,4.895311752,52.37727946,23,1380
tram,5,T25,4.895835465,52.3777311,23,1380
tram,5,T25,4.897024209,52.37800513,23,1380
tram,5,T25,4.897423229,52.37783767,23,1380
tram,5,T25,4.898262815,52.37727946,23,1380
tram,5,T25,4.899534688,52.3781523,23,1380
walk,4,na,4.872545023,52.3077711,7,420
walk,4,na,4.87307679,52.30776825,7,420
walk,4,na,4.873678526,52.30775399,7,420
walk,4,na,4.873748495,52.30775114,7,420
walk,4,na,4.873893098,52.30764847,7,420
walk,4,na,4.873911757,52.30744882,7,420
walk,4,na,4.874014379,52.30716076,7,420
walk,4,na,4.87497529,52.30714936,7,420
walk,4,na,4.87497529,52.30650193,7,420
walk,4,na,4.87479337,52.30650478,7,420
walk,4,na,4.874784041,52.30641636,7,420
walk,4,na,4.89956944,52.37813129,1,60
walk,4,na,4.899830033,52.37819946,1,60
walk,4,na,4.900034785,52.37826764,1,60
walk,4,na,4.900188349,52.3784182,1,60
walk,4,na,4.900272111,52.37839263,1,60
walk,4,na,4.900654509,52.37884081,1,60
driving,3,na,4.875884781,52.30668053,20,1200
driving,3,na,4.875881128,52.30649962,20,1200
driving,3,na,4.87766183,52.30648119,20,1200
driving,3,na,4.877735557,52.30857602,20,1200
driving,3,na,4.874592632,52.30861236,20,1200
driving,3,na,4.87438263,52.30871223,20,1200
driving,3,na,4.87438263,52.30905462,20,1200
driving,3,na,4.874444181,52.3112774,20,1200
driving,3,na,4.874467515,52.31186941,20,1200
driving,3,na,4.874467515,52.31198354,20,1200
driving,3,na,4.874525849,52.31206199,20,1200
driving,3,na,4.874525849,52.31221178,20,1200
driving,3,na,4.874420848,52.31228311,20,1200
driving,3,na,4.874385847,52.31249708,20,1200
driving,3,na,4.874292513,52.3126754,20,1200
driving,3,na,4.874105847,52.31335308,20,1200
driving,3,na,4.872820597,52.31610272,20,1200
driving,3,na,4.872943754,52.31620539,20,1200
driving,3,na,4.872776436,52.31636689,20,1200
driving,3,na,4.872503443,52.31631306,20,1200
driving,3,na,4.87125296,52.31603313,20,1200
driving,3,na,4.870900712,52.31602774,20,1200
driving,3,na,4.870610107,52.31625384,20,1200
driving,3,na,4.869859796,52.31788502,20,1200
driving,3,na,4.869657253,52.3184933,20,1200
driving,3,na,4.869472323,52.31964525,20,1200
driving,3,na,4.869334278,52.32115931,20,1200
driving,3,na,4.869263829,52.32281175,20,1200
driving,3,na,4.869176297,52.32459853,20,1200
driving,3,na,4.869107219,52.3261917,20,1200
driving,3,na,4.869040248,52.32843215,20,1200
driving,3,na,4.869052129,52.33085724,20,1200
driving,3,na,4.869005248,52.33278594,20,1200
driving,3,na,4.868990141,52.3367371,20,1200
driving,3,na,4.868954917,52.33713527,20,1200
driving,3,na,4.868858048,52.33756035,20,1200
driving,3,na,4.868796583,52.33831393,20,1200
driving,3,na,4.870093527,52.33837121,20,1200
driving,3,na,4.872523504,52.33860107,20,1200
driving,3,na,4.873174306,52.33848885,20,1200
driving,3,na,4.874234351,52.33855585,20,1200
driving,3,na,4.877042472,52.33858378,20,1200
driving,3,na,4.880619699,52.33855576,20,1200
driving,3,na,4.883579711,52.33847482,20,1200
driving,3,na,4.885530435,52.33821567,20,1200
driving,3,na,4.887000781,52.33784349,20,1200
driving,3,na,4.88835377,52.33735723,20,1200
driving,3,na,4.890938059,52.33613121,20,1200
driving,3,na,4.893394409,52.33490766,20,1200
driving,3,na,4.897067785,52.33312631,20,1200
driving,3,na,4.901860653,52.33075508,20,1200
driving,3,na,4.903063561,52.33019314,20,1200
driving,3,na,4.904305199,52.32971207,20,1200
driving,3,na,4.906560435,52.32902089,20,1200
driving,3,na,4.909091104,52.32861996,20,1200
driving,3,na,4.911539649,52.32841261,20,1200
driving,3,na,4.914007175,52.32830965,20,1200
driving,3,na,4.916650987,52.32851107,20,1200
driving,3,na,4.920072635,52.32930314,20,1200
driving,3,na,4.927135851,52.33167522,20,1200
driving,3,na,4.940876575,52.33653601,20,1200
driving,3,na,4.944060986,52.33744753,20,1200
driving,3,na,4.948708506,52.33863947,20,1200
